operator,cluster,subfield,observed_period,count,fraction,drives_full_tau_period,synchronization_role,note
T_c,transport,lift,8,45,0.045000,0.5850,bottleneck_fraction=0.5850,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=195; dominant_sync_type=tau_unresolved
T_c,transport,lift,7,44,0.044000,0.5850,bottleneck_fraction=0.5850,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=195; dominant_sync_type=tau_unresolved
T_c,transport,lift,2,40,0.040000,0.5850,bottleneck_fraction=0.5850,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=195; dominant_sync_type=tau_unresolved
T_c,transport,lift,9,36,0.036000,0.5850,bottleneck_fraction=0.5850,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=195; dominant_sync_type=tau_unresolved
T_c,transport,lift,11,27,0.027000,0.5850,bottleneck_fraction=0.5850,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=195; dominant_sync_type=tau_unresolved
T_c,transport,lift,10,26,0.026000,0.5850,bottleneck_fraction=0.5850,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=195; dominant_sync_type=tau_unresolved
T_c,transport,lift,16,22,0.022000,0.5850,bottleneck_fraction=0.5850,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=195; dominant_sync_type=tau_unresolved
T_c,transport,lift,15,21,0.021000,0.5850,bottleneck_fraction=0.5850,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=195; dominant_sync_type=tau_unresolved
T_c,transport,lift,12,20,0.020000,0.5850,bottleneck_fraction=0.5850,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=195; dominant_sync_type=tau_unresolved
T_c,transport,lift,13,19,0.019000,0.5850,bottleneck_fraction=0.5850,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=195; dominant_sync_type=tau_unresolved
