model,task,delay,metric_name,metric_value,operator,usage_fraction,transport_usage_fraction,route_entropy,note
traj_router,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0251,1.7104,step=1; dist_from_query=15
traj_router,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0251,1.7104,step=2; dist_from_query=14
traj_router,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0251,1.7104,step=3; dist_from_query=13
traj_router,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0251,1.7104,step=4; dist_from_query=12
traj_router,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0251,1.7104,step=5; dist_from_query=11
traj_router,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0251,1.7104,step=6; dist_from_query=10
traj_router,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0251,1.7104,step=7; dist_from_query=9
traj_router,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0251,1.7104,step=8; dist_from_query=8
traj_router,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0251,1.7104,step=9; dist_from_query=7
traj_router,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0251,1.7104,step=10; dist_from_query=6
traj_router,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0251,1.7104,step=11; dist_from_query=5
traj_router,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0251,1.7104,step=12; dist_from_query=4
traj_router,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0251,1.7104,step=13; dist_from_query=3
traj_router,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0251,1.7104,step=14; dist_from_query=2
traj_router,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0251,1.7104,step=15; dist_from_query=1
